cluster	genes
chrN00082:clu_18119_+	ENSFALG00000004431
chrN00082:clu_18138_-	ENSFALG00000024844
chrN00083:clu_18163_+	ENSFALG00000001480
chrN00084:clu_18228_+	ENSFALG00000012935
chrN00086:clu_18421_-	ENSFALG00000012783
chrN00087:clu_18501_-	ENSFALG00000011440
chrN00087:clu_18538_+	NA
chrN00089:clu_18797_-	ENSFALG00000004498
chrN00089:clu_18810_-	ENSFALG00000004586
chrN00089:clu_18882_-	ENSFALG00000005402
chrN00091:clu_18987_-	NA
chrN00092:clu_19061_+	NA
chrN00092:clu_19094_+	NA
chrN00093:clu_19189_+	ENSFALG00000004446
chrN00093:clu_19231_-	ENSFALG00000004177
chrN00093:clu_19232_-	ENSFALG00000004177
chrN00093:clu_19233_-	ENSFALG00000004177
chrN00094:clu_19273_-	NA
chrN00094:clu_19278_-	ENSFALG00000027003
chrN00096:clu_19437_+	ENSFALG00000002843
chrN00096:clu_19453_-	ENSFALG00000028748
chrN00099:clu_19608_+	ENSFALG00000005656
chrN00101:clu_19789_-	ENSFALG00000003553
chrN00102:clu_19809_-	NA
chrN00102:clu_19812_-	ENSFALG00000003066
chrN00102:clu_19813_-	ENSFALG00000003078
chrN00102:clu_19870_+	ENSFALG00000003335
chrN00104:clu_19977_-	ENSFALG00000006356
chrN00104:clu_19978_-	NA
chrN00104:clu_20041_+	ENSFALG00000006475
chrN00106:clu_20119_-	ENSFALG00000011337
chrN00106:clu_20120_-	ENSFALG00000011367
chrN00106:clu_20129_-	ENSFALG00000011389
chrN00107:clu_20186_-	ENSFALG00000009093
chrN00109:clu_20295_-	ENSFALG00000001183
chrN00110:clu_20310_-	ENSFALG00000000388
chrN00110:clu_20329_-	ENSFALG00000000529
chrN00110:clu_20358_+	ENSFALG00000000458
chrN00110:clu_20364_+	NA
chrN00110:clu_20370_+	ENSFALG00000000591
chrN00110:clu_20390_+	ENSFALG00000024242
chrN00111:clu_20434_+	ENSFALG00000010294
chrN00113:clu_20556_+	ENSFALG00000012556
chrN00114:clu_20614_-	ENSFALG00000013690
chrN00116:clu_20747_-	ENSFALG00000007528
chrN00118:clu_20899_+	ENSFALG00000028164
chrN00118:clu_20933_+	ENSFALG00000014000
chrN00119:clu_20941_-	ENSFALG00000009023
chrN00119:clu_20964_-	ENSFALG00000009076
chrN00119:clu_20995_+	NA
chrN00121:clu_21053_-	NA
chrN00121:clu_21067_+	ENSFALG00000026662
chrN00121:clu_21069_+	ENSFALG00000026662
chrN00129:clu_21460_+	ENSFALG00000023544
chrN00130:clu_21485_+	ENSFALG00000027186
chrN00131:clu_21541_+	ENSFALG00000003362
chrN00131:clu_21544_+	ENSFALG00000003362
chrN00132:clu_21592_-	NA
chrN00135:clu_21780_+	ENSFALG00000013219
chrN00135:clu_21781_+	ENSFALG00000013219
chrN00135:clu_21810_-	ENSFALG00000027117
chrN00140:clu_21995_-	ENSFALG00000007931
chrN00142:clu_22089_+	ENSFALG00000000121
chrN00144:clu_22212_-	NA
chrN00145:clu_22236_-	ENSFALG00000011470
chrN00145:clu_22294_+	NA
chrN00148:clu_22371_+	NA
chrN00150:clu_22429_+	NA
chrN00152:clu_22536_-	ENSFALG00000023837
chrN00156:clu_22661_-	ENSFALG00000002543
chrN00156:clu_22667_-	ENSFALG00000002591
chrN00156:clu_22673_-	ENSFALG00000002612
chrN00156:clu_22718_+	ENSFALG00000002645
chrN00157:clu_22762_+	ENSFALG00000002852,ENSFALG00000002854
chrN00160:clu_22900_+	ENSFALG00000012434
chrN00160:clu_22954_-	NA
chrN00160:clu_22956_-	ENSFALG00000012502
chrN00161:clu_22999_+	ENSFALG00000023964
chrN00161:clu_23010_-	ENSFALG00000000178
chrN00162:clu_23049_+	ENSFALG00000011734
chrN00162:clu_23055_+	ENSFALG00000011812
chrN00165:clu_23196_-	ENSFALG00000012688
chrN00165:clu_23198_-	ENSFALG00000023033
chrN00169:clu_23461_+	ENSFALG00000007176
chrN00171:clu_23506_-	ENSFALG00000000052
chrN00171:clu_23542_-	ENSFALG00000028951
chrN00176:clu_23665_-	ENSFALG00000012709
chrN00177:clu_23748_+	ENSFALG00000009271
chrN00177:clu_23750_+	ENSFALG00000009271
chrN00182:clu_23862_-	ENSFALG00000003278
chrN00183:clu_23869_-	ENSFALG00000001291
chrN00184:clu_23909_+	NA
chrN00186:clu_23965_+	NA
chrN00186:clu_23967_-	NA
chrN00189:clu_24115_+	ENSFALG00000009429
chrN00189:clu_24150_-	ENSFALG00000009547
chrN00189:clu_24151_-	ENSFALG00000009547
chrN00190:clu_24162_-	ENSFALG00000008170
chrN00195:clu_24455_-	ENSFALG00000009004
chrN00196:clu_24565_-	ENSFALG00000005952
chrN00199:clu_24690_+	ENSFALG00000012364
chrN00208:clu_24896_-	ENSFALG00000001055
chrN00210:clu_24952_-	ENSFALG00000000631
chrN00210:clu_24966_-	ENSFALG00000000675
chrN00210:clu_25006_+	ENSFALG00000000677
chrN00210:clu_25031_+	ENSFALG00000000804
chrN00211:clu_25070_+	ENSFALG00000025604
chrN00212:clu_25079_+	ENSFALG00000012662
chrN00214:clu_25134_-	ENSFALG00000008285
chrN00216:clu_25206_-	ENSFALG00000002244
chrN00216:clu_25207_-	ENSFALG00000002244
chrN00218:clu_25264_+	NA
chrN00221:clu_25320_-	NA
chrN00226:clu_25437_+	ENSFALG00000000557
chrN00226:clu_25441_-	ENSFALG00000023543
chrN00226:clu_25444_-	ENSFALG00000000412
chrN00226:clu_25447_-	ENSFALG00000000467
chrN00226:clu_25448_-	NA
chrN00227:clu_25478_-	ENSFALG00000002327
chrN00229:clu_25571_-	ENSFALG00000001059
chrN00232:clu_25737_+	ENSFALG00000003710
chrN00235:clu_25815_-	ENSFALG00000026161
chrN00235:clu_25824_+	ENSFALG00000005790
chrN00237:clu_25892_-	ENSFALG00000009912
chrN00238:clu_25941_-	ENSFALG00000005035
chrN00240:clu_25969_-	ENSFALG00000000762
chrN00242:clu_25990_-	NA
